"Key";"Type";"Desc";"English";"Українська [uk]"
"Block/Bed_Hammock";"Text";"";"Hammock@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a hammock provides you with even more health than a simple bed.";"Hammock@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a hammock provides you with even more health than a simple bed."
"Block/Bed_Simple";"Text";"";"Simple bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed also provides you with more health.";"Simple bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed also provides you with more health."
"Block/Beehive";"Text";"";"Beehive@If you care for the bees they will yield you honeycombs.";"Beehive@If you care for the bees they will yield you honeycombs."
"Block/BiofuelExtractor";"Text";"";"Biofuel refiner@Mixes raw food and honey to create biofuel.";"Biofuel refiner@Mixes raw food and honey to create biofuel."
"Block/BiofuelExtractor_Advanced";"Text";"";"Advanced biofuel refiner@Mixes raw food and honey to create biofuel.";"Advanced biofuel refiner@Mixes raw food and honey to create biofuel."
"Block/BirdsNest";"Text";"";"Birds nest@A place for seagulls to rest. Be sure to keep your distance as birds are easily scared.";"Birds nest@A place for seagulls to rest. Be sure to keep your distance as birds are easily scared."
"Block/BlanketBasket";"Text";"";"Blanket basket@Perfect when if it gets a bit chilly.";"Blanket basket@Perfect when if it gets a bit chilly."
"Block/Bookpile";"Text";"";"Bookpile@A pile of old books.";"Bookpile@A pile of old books."
"Block/Brick_Wet";"Text";"";"Wet brick@Can be placed on your raft to dry.";"Wet brick@Can be placed on your raft to dry."
"Block/CandleBottle";"Text";"";"Candle Bottle@Not a very bright light, but a pretty one.";"Candle Bottle@Not a very bright light, but a pretty one."
"Block/Candlestick";"Text";"";"Candlestick@For a candle lit dinner.";"Candlestick@For a candle lit dinner."
"Block/Chair";"Text";"";"Chair@Nice for sitting. Goes well with a table.";"Chair@Nice for sitting. Goes well with a table."
"Block/Clock";"Text";"";"Clock@Shows the time.";"Годинник@Показує час."
"Block/CollectionNet";"Text";"";"Advanced collection net@Automatically catches items that float into it. Can contain more items than a simple collection net.";"Advanced collection net@Automatically catches items that float into it. Can contain more items than a simple collection net."
"Block/CollectionNet_Simple";"Text";"";"Simple collection net@Automatically catches items that float into it.";"Simple collection net@Automatically catches items that float into it."
"Block/CookingPot";"Text";"";"Cookingpot@Combines base food into amazing meals.";"Cookingpot@Combines base food into amazing meals."
"Block/CookingStand_Food_Electric";"Text";"";"Electric grill@Can cook a lot of food at once. Uses battery as fuel.";"Electric grill@Can cook a lot of food at once. Uses battery as fuel."
"Block/CookingStand_Food_One";"Text";"";"Simple grill@Can cook a piece of food. Uses planks as fuel.";"Simple grill@Can cook a piece of food. Uses planks as fuel."
"Block/CookingStand_Food_Two";"Text";"";"Advanced grill@Can cook several pieces of food at once. Uses planks as fuel.";"Advanced grill@Can cook several pieces of food at once. Uses planks as fuel."
"Block/CookingStand_Purifier_One";"Text";"";"Simple purifier@Can purify one cup of saltwater into freshwater. Uses planks as fuel.";"Simple purifier@Can purify one cup of saltwater into freshwater. Uses planks as fuel."
"Block/CookingStand_Purifier_Two";"Text";"";"Advanced purifier@Can purify several cups of water at once. Does not require fuel.";"Advanced purifier@Can purify several cups of water at once. Does not require fuel."
"Block/CookingStand_Smelter";"Text";"";"Smelter@Can smelt metal ore, sand and seaweed.";"Smelter@Can smelt metal ore, sand and seaweed."
"Block/CookingStand_Smelter_Electric";"Text";"";"Electric Smelter@Can smelt metal ore, sand and seaweed. With electricity!";"Electric Smelter@Can smelt metal ore, sand and seaweed. With electricity!"
"Block/Cropplot_Grass";"Text";"";"Grass plot@Add water, get grass, feed animals.";"Grass plot@Add water, get grass, feed animals."
"Block/Cropplot_Large";"Text";"";"Large crop plot@Lets you grow trees.";"Large crop plot@Lets you grow trees."
"Block/Cropplot_Large_Tier3";"Text";"";"Advanced large crop plot@A fancier plot that lets you grow trees.";"Advanced large crop plot@A fancier plot that lets you grow trees."
"Block/Cropplot_Medium";"Text";"";"Medium crop plot@Lets you grow bigger plants.";"Medium crop plot@Lets you grow bigger plants."
"Block/Cropplot_Medium_Tier3";"Text";"";" Advanced medium crop plot@A fancier plot that lets you grow more bigger plants.";" Advanced medium crop plot@A fancier plot that lets you grow more bigger plants."
"Block/Cropplot_Shoe";"Text";"";"Old shoe@Maybe you could plant something in this...";"Старий чобіт@Можливо сюди можна щось посадити..."
"Block/Cropplot_Small";"Text";"";"Small crop plot@Lets you grow plants.";"Маленька грядка@Дозволяє вирощувати рослини."
"Block/Cropplot_Small_Tier3";"Text";"";"Advanced small crop plot@A fancier plot that lets you grow more plants.";"Покращена маленька грядка@Шикарна ділянка, що дозволяє вирощувати рясний врожай."
"Block/Cupboard";"Text";"";"Cupboard@A decorative piece with minor storage.";"Тумбочка@Деталь інтер'єру з невеликим сховищем."
"Block/Curtain";"Text";"";"Curtain@Keeps the monsters from coming in.";"Штори@Не пускає монстрів всередину."
"Block/Cutlery";"Text";"";"Cutlery@Where is the spoon?";"Столовий набір@Де ложка?"
"Block/DetailPlank";"Text";"";"Detail plank@Adds details to your raft design.";"Детальна планка@Додає деталі до конструкції вашого плоту."
"Block/Door_Thatch";"Text";"";"Thatch door@Provides support for additional floors.";"Thatch door@Provides support for additional floors."
"Block/Door_Tier3";"Text";"";"Solid wooden door@Provides support for additional floors.";"Solid wooden door@Provides support for additional floors."
"Block/Door_Wood";"Text";"";"Wooden door@Provides support for additional floors.";"Wooden door@Provides support for additional floors."
"Block/DrawBridgeLong";"Text";"";"Long draw bridge@Connects two parts of your raft.";"Long draw bridge@Connects two parts of your raft."
"Block/DrawBridgeShort";"Text";"";"Short draw bridge@Connects two parts of your raft.";"Short draw bridge@Connects two parts of your raft."
"Block/ElectricPurifier";"Text";"";"Electric purifier@Can be connected with waterpipes!";"Electric purifier@Can be connected with waterpipes!"
"Block/EngineControls";"Text";"";"Engine controls@Allows you to control the advanced anchor and all engines from one spot.";"Engine controls@Allows you to control the advanced anchor and all engines from one spot."
"Block/Fence_Plank";"Text";"";"Plank fence@Keeps you from falling off your raft.";"Plank fence@Keeps you from falling off your raft."
"Block/Fence_Rope";"Text";"";"Rope fence@Keeps you from falling off your raft.";"Rope fence@Keeps you from falling off your raft."
"Block/Fence_Tier3";"Text";"";"Solid wooden fence@Keeps you from falling off your raft.";"Solid wooden fence@Keeps you from falling off your raft."
"Block/Figurine_Chicken";"Text";"";"Clucker@Spawns a clucker.";"Квокчик@Створює квокчика."
"Block/Figurine_Goat";"Text";"";"Goat@Spawns a goat.";"Коза@Створює козу."
"Block/Figurine_Llama";"Text";"";"Llama@Spawns a llama.";"Лама@Створює ламу."
"Block/FireBasket";"Text";"";"Fire basket@Warm and cozy.";"Кошик з вогнем@Теплий і затишний."
"Block/Fireplace";"Text";"";"Fireplace@Warm and cozy.";"Камін@Теплий і затишний."
"Block/FirewoodRack";"Text";"";"Firewood rack@Stores wood like nothing you have seen before.";"Підставка для дрів@Зберігає дерево так, як ви ще не бачили."
"Block/Firework";"Text";"";"Firework@Can be painted when placed on the raft.";"Феєрверк@Можна помалювати, коли поставлено на плоті."
"Block/Flag";"Text";"";"Flag@Every raft needs at least one of these.";"Стяг@Кожен пліт має хоча б один такий."
"Block/Floor_Tier3";"Text";"";"Solid wooden floor@Used to build additional floors and roof. Cannot be built in thin air.";"Щільна дерев'яна підлога@Використовується для будування додаткових поверхів та даху. Неможливо збудувати в повітрі."
"Block/Floor_Triangular_Tier3";"Text";"";"Triangular solid wooden floor@Used to build additional floors and roof. Cannot be built in thin air.";"Трикутна щільна дерев'яна підлога@Використовується для будування додаткових поверхів та даху. Неможливо збудувати в повітрі."
"Block/Floor_Triangular_Wood";"Text";"";"Triangular wooden floor@Used to build additional floors and roof. Cannot be built in thin air.";"Трикутна дерев'яна підлога@Використовується для будування додаткових поверхів та даху. Неможливо збудувати в повітрі."
"Block/Floor_Wood";"Text";"";"Wooden floor@Used to build additional floors and roof. Cannot be built in thin air.";"Дерев'яна підлога@Використовується для будування додаткових поверхів та даху. Неможливо збудувати в повітрі."
"Block/Flower_AloeVera";"Text";"";"Aloe Vera@Green and slimy.";"Алое@Зелена й слизиста."
"Block/Flower_Cactus";"Text";"";"Cactus@Ouch!";"Кактус@Ай!"
"Block/Flower_Hibiscus";"Text";"";"Hibiscus@The flowers are trumpet shaped.";"Гібіскус@Ця квітка схожа на тромбон."
"Block/Flower_Monstera";"Text";"";"Monstera@Big and beautiful.";"Монстера@Велика й красива."
"Block/Flower_Rose";"Text";"";"Rose@Smells amazing.";"Роза@Пахне неймовірно."
"Block/Flower_Sunflower";"Text";"";"Sunflower@Yellow, like a sun.";"Соняшник@Жовтий наче сонце."
"Block/FoundationArmor";"Text";"";"Foundation armor@Provides extra protection for your foundation.";"Укріплення основи@Забезпечує додатковий захист для основи плота."
"Block/FoundationCounter";"Text";"";"Foundation counter@Keeps track of your foundations, so you don't have to.";"Лічильник основ@Слідкує за кількістю основ замість вас."
"Block/Foundation_Tier3";"Text";"";"Solid foundation@Used to expand your raft on the bottom floor.";"Щільна основа@Використовується для збільшення основи вашого плота."
"Block/Foundation_Triangular_Tier3";"Text";"";"Triangular solid foundation@Used to expand your raft on the bottom floor.";"Трикутна щільна основа@Використовується для збільшення основи вашого плота."
"Block/Foundation_Triangular_Wood";"Text";"";"Triangular foundation@Used to expand your raft on the bottom floor.";"Трикутна основа@Використовується для збільшення основи вашого плота."
"Block/Foundation_Wood";"Text";"";"Foundation@Used to expand your raft on the bottom floor.";"Основа@Використовується для збільшення основи вашого плота."
"Block/Fridge";"Text";"";"Fridge@Can store food, and anything else.";"Холодильник@Зберігає їжу та все інше."
"Block/FuelTank";"Text";"";"Fuel tank@Specially designed to store biofuel.";"Паливний бак@Спеціально розроблений для зберігання біопалива."
"Block/Gate_Thatch";"Text";"";"Thatch gate@Provides support for additional floors.";"Thatch gate@Provides support for additional floors."
"Block/Gate_Tier3";"Text";"";"Solid wooden gate@Provides support for additional floors.";"Solid wooden gate@Provides support for additional floors."
"Block/Gate_Wood";"Text";"";"Wooden gate@Provides support for additional floors.";"Wooden gate@Provides support for additional floors."
"Block/HalfFloor_Tier3";"Text";"";"Raised solid floor@A floor half the height of a wall.";"Raised solid floor@A floor half the height of a wall."
"Block/HalfFloor_Triangular_Tier3";"Text";"";"Triangular raised solid floor@A floor half the height of a wall.";"Triangular raised solid floor@A floor half the height of a wall."
"Block/HalfFloor_Triangular_Wood";"Text";"";"Triangular raised floor@A floor half the height of a wall.";"Triangular raised floor@A floor half the height of a wall."
"Block/HalfFloor_Wood";"Text";"";"Raised floor@A floor half the height of a wall.";"Raised floor@A floor half the height of a wall."
"Block/HalfPillar_Tier3";"Text";"";"Solid half wooden pillar@Provides support for additional floors.";"Solid half wooden pillar@Provides support for additional floors."
"Block/HalfPillar_Wood";"Text";"";"Half wooden pillar@Provides support for additional floors.";"Half wooden pillar@Provides support for additional floors."
"Block/HalfStair_Tier3";"Text";"";"Solid half stair@Allows you to reach half a wall height up.";"Solid half stair@Allows you to reach half a wall height up."
"Block/HalfStair_Wood";"Text";"";"Half stair@Allows you to reach half a wall height up.";"Half stair@Allows you to reach half a wall height up."
"Block/HalfWall_Thatch";"Text";"";"Half thatch wall@Provides support for additional floors.";"Half thatch wall@Provides support for additional floors."
"Block/HalfWall_Tier3";"Text";"";"Solid half wooden wall@Provides support for additional floors.";"Solid half wooden wall@Provides support for additional floors."
"Block/HalfWall_Wood";"Text";"";"Half wooden wall@Provides support for additional floors.";"Half wooden wall@Provides support for additional floors."
"Block/HonkHorn1";"Text";"";"Air horn@Makes a sound to annoy your friends.";"Air horn@Makes a sound to annoy your friends."
"Block/HonkHorn2";"Text";"";"Honk horn@Makes a sound to annoy your friends.";"Honk horn@Makes a sound to annoy your friends."
"Block/HonkHorn3";"Text";"";"Viking horn@Makes a sound to annoy your friends.";"Viking horn@Makes a sound to annoy your friends."
"Block/HorizontalHalfPillar_Tier3";"Text";"";"Horizontal solid half wooden pillar@Provides support for additional floors.";"Horizontal solid half wooden pillar@Provides support for additional floors."
"Block/HorizontalHalfPillar_Wood";"Text";"";"Horizontal half wooden pillar@Provides support for additional floors.";"Horizontal half wooden pillar@Provides support for additional floors."
"Block/HorizontalPillar_Tier3";"Text";"";"Horizontal solid wooden pillar@Provides support for additional floors.";"Horizontal solid wooden pillar@Provides support for additional floors."
"Block/HorizontalPillar_Wood";"Text";"";"Horizontal wooden pillar@Provides support for additional floors.";"Horizontal wooden pillar@Provides support for additional floors."
"Block/ItemNet";"Text";"";"Simple collection net@Automatically catches items that float into it.";"Simple collection net@Automatically catches items that float into it."
"Block/ItemNet_Two";"Text";"";"Advanced collection net@Automatically catches items that float into it. Can contain more items then a simlpe collection net.";"Advanced collection net@Automatically catches items that float into it. Can contain more items then a simlpe collection net."
"Block/Juicer";"Text";"";"Juicer@Combines base food into amazing drinks.";"Juicer@Combines base food into amazing drinks."
"Block/Ladder";"Text";"";"Ladder@A good way to go up and down.";"Ladder@A good way to go up and down."
"Block/Ladder_Half";"Text";"";"Half ladder@A good way to go up and down.";"Half ladder@A good way to go up and down."
"Block/Ladder_Tier3";"Text";"";"Solid ladder@A good way to go up and down.";"Solid ladder@A good way to go up and down."
"Block/Ladder_Tier3_Half";"Text";"";"Solid half ladder@A good way to go up and down.";"Solid half ladder@A good way to go up and down."
"Block/Lantern";"Text";"";"Lantern@Lights up the dark.";"Ліхтар@Освітлює темряву."
"Block/Lantern_Metal";"Text";"";"Metal lantern@Lights up the dark.";"Металевий ліхтар@Освітлює темряву."
"Block/MajorTom";"Text";"";"Major Tom@Not the best astronaut, but not the worst.";"Major Tom@Not the best astronaut, but not the worst."
"Block/MotivationalQuote";"Text";"";"Motivational quote@Teasingly perfect...";"Motivational quote@Teasingly perfect..."
"Block/MotorWheel";"Text";"";"Engine@Allows you to go in different directions and increases your speed.";"Engine@Allows you to go in different directions and increases your speed."
"Block/Mug";"Text";"";"Mug@Useful for all beverages.";"Mug@Useful for all beverages."
"Block/OpenBook";"Text";"";"Open book@An open book for anyone to read.";"Розгорнута книга@Книга розгорнута, щоб усі могли читати."
"Block/Outhouse";"Text";"";"Outhouse@Not as smelly as one would think.";"Outhouse@Not as smelly as one would think."
"Block/PaintMill";"Text";"";"Paint mill@Used to turn flowers into paint. Uses water energy to work.";"Paint mill@Used to turn flowers into paint. Uses water energy to work."
"Block/Painting";"Text";"";"Painting@A decorative piece.";"Картига@Елемент декору."
"Block/Painting_Tangaroa";"Text";"";"Tangaroa painting@A painting from Tangaroa.";"Танґароанська картина@Картина з Танґароа."
"Block/PaperBundle";"Text";"";"Paper bundle@Rough, stiff and boring.";"Paper bundle@Rough, stiff and boring."
"Block/Piano";"Text";"";"Piano@Become a real beet-hoven.";"Piano@Become a real beet-hoven."
"Block/Pillar_Tier3";"Text";"";"Solid wooden pillar@Provides support for additional floors.";"Solid wooden pillar@Provides support for additional floors."
"Block/Pillar_Wood";"Text";"";"Wooden pillar@Provides support for additional floors.";"Wooden pillar@Provides support for additional floors."
"Block/Pipe_Fuel";"Text";"";"Fuel pipe@Useful for transporting biofuel between different machines.";"Паливна труба@Використовується для транспортування біопалива між різними машинами."
"Block/Pipe_Water";"Text";"";"Water pipe@Useful for transporting water between different machines.";"Water pipe@Useful for transporting water between different machines."
"Block/Plushie";"Text";"";"Plushie@Soft and adorable!";"Plushie@Soft and adorable!"
"Block/Quill";"Text";"";"Quill@The feather is sooo soft.";"Чорнильниця@Перо такееее м'яке."
"Block/RBPainting_Andre";"Text";"";"Man And Moon@A remnant of a mysterious collective.";"Man And Moon@A remnant of a mysterious collective."
"Block/RBPainting_Ellen";"Text";"";"The Pot@A remnant of a mysterious collective.";"The Pot@A remnant of a mysterious collective."
"Block/RBPainting_Felicia";"Text";"";"After The Rain@A remnant of a mysterious collective.";"After The Rain@A remnant of a mysterious collective."
"Block/RBPainting_Gabriel";"Text";"";"Octohenge@A remnant of a mysterious collective.";"Octohenge@A remnant of a mysterious collective."
"Block/RBPainting_Illayda";"Text";"";"Neighbors Dog @A remnant of a mysterious collective.";"Neighbors Dog @A remnant of a mysterious collective."
"Block/RBPainting_Petter";"Text";"";"Real Self Portrait@A remnant of a mysterious collective.";"Real Self Portrait@A remnant of a mysterious collective."
"Block/RBPainting_Semih";"Text";"";"What Even Is?@A remnant of a mysterious collective.";"What Even Is?@A remnant of a mysterious collective."
"Block/RBPainting_William";"Text";"";"Foul Fogs@A remnant of a mysterious collective.";"Foul Fogs@A remnant of a mysterious collective."
"Block/Radio";"Text";"";"Radio@Unsure if it is functional.";"Радіо@Навряд воно працює."
"Block/Reciever";"Text";"";"Receiver@Used to locate nearby radio signals.";"Приймач@Використовується, щоб приймати найближчі радіо хвилі."
"Block/Recycler";"Text";"";"Recycler@Combines basic resources into trading post currency.";"Recycler@Combines basic resources into trading post currency."
"Block/Repair";"Text";"";"Repair@Repair damaged building parts.";"Repair@Repair damaged building parts."
"Block/ResearchTable";"Text";"";"Research table@Used to research new items to craft.";"Дослідницький стіл@Використовується для дослідження нових предметів для майстрування."
"Block/Roof_Corner_Thatch";"Text";"";"Thatch roof corner@Covers your head.";"Thatch roof corner@Covers your head."
"Block/Roof_Corner_Tier3";"Text";"";"Solid wooden roof corner@Covers your head.";"Solid wooden roof corner@Covers your head."
"Block/Roof_Corner_Wood";"Text";"";"Wooden roof corner@Covers your head.";"Wooden roof corner@Covers your head."
"Block/Roof_EndCap_Thatch";"Text";"";"Thatch roof endcap@Covers your head.";"Thatch roof endcap@Covers your head."
"Block/Roof_EndCap_Tier3";"Text";"";"Solid wooden roof endcap@Covers your head.";"Solid wooden roof endcap@Covers your head."
"Block/Roof_EndCap_Wood";"Text";"";"Wooden roof endcap@Covers your head.";"Wooden roof endcap@Covers your head."
"Block/Roof_InvCorner_Thatch";"Text";"";"Inverted thatch roof corner@Covers your head.";"Inverted thatch roof corner@Covers your head."
"Block/Roof_InvCorner_Tier3";"Text";"";"Inverted solid wooden roof corner@Covers your head.";"Inverted solid wooden roof corner@Covers your head."
"Block/Roof_InvCorner_Wood";"Text";"";"Inverted wooden roof corner@Covers your head.";"Inverted wooden roof corner@Covers your head."
"Block/Roof_LJunction_Thatch";"Text";"";"Thatch L-junction@Covers your head.";"Thatch L-junction@Covers your head."
"Block/Roof_LJunction_Tier3";"Text";"";"Solid wooden L-junction@Covers your head.";"Solid wooden L-junction@Covers your head."
"Block/Roof_LJunction_Wood";"Text";"";"Wooden L-junction@Covers your head.";"Wooden L-junction@Covers your head."
"Block/Roof_Pyramid_Thatch";"Text";"";"Thatch roof pyramid@Covers your head.";"Thatch roof pyramid@Covers your head."
"Block/Roof_Pyramid_Tier3";"Text";"";"Solid wooden roof pyramid@Covers your head.";"Solid wooden roof pyramid@Covers your head."
"Block/Roof_Pyramid_Wood";"Text";"";"Wooden roof pyramid@Covers your head.";"Wooden roof pyramid@Covers your head."
"Block/Roof_StraightV_Thatch";"Text";"";"Thatch double roof@Covers your head.";"Thatch double roof@Covers your head."
"Block/Roof_StraightV_Tier3";"Text";"";"Solid wooden double roof@Covers your head.";"Solid wooden double roof@Covers your head."
"Block/Roof_StraightV_Wood";"Text";"";"Wooden double roof@Covers your head.";"Wooden double roof@Covers your head."
"Block/Roof_Straight_Thatch";"Text";"";"Thatch roof@Covers your head.";"Thatch roof@Covers your head."
"Block/Roof_Straight_Tier3";"Text";"";"Solid wooden roof@Covers your head.";"Solid wooden roof@Covers your head."
"Block/Roof_Straight_Wood";"Text";"";"Wooden roof@Covers your head.";"Wooden roof@Covers your head."
"Block/Roof_TJunction_Thatch";"Text";"";"Thatch T-junction@Covers your head.";"Thatch T-junction@Covers your head."
"Block/Roof_TJunction_Tier3";"Text";"";"Solid wooden T-junction@Covers your head.";"Solid wooden T-junction@Covers your head."
"Block/Roof_TJunction_Wood";"Text";"";"Wooden T-junction@Covers your head.";"Wooden T-junction@Covers your head."
"Block/Roof_XJunction_Thatch";"Text";"";"Thatch X-junction@Covers your head.";"Thatch X-junction@Covers your head."
"Block/Roof_XJunction_Tier3";"Text";"";"Solid wooden X-junction@Covers your head.";"Solid wooden X-junction@Covers your head."
"Block/Roof_XJunction_Wood";"Text";"";"Wooden X-junction@Covers your head.";"Wooden X-junction@Covers your head."
"Block/Rug";"Text";"";"Rug@Reduces splinters in your feet.";"Rug@Reduces splinters in your feet."
"Block/Sail";"Text";"";"Sail@Can nudge you in the right direction.";"Вітрило@Може тягти вас у правильному напрямі."
"Block/SaltPepper";"Text";"";"Salt and pepper shaker@Neccessary if the chef is skimpy.";"Salt and pepper shaker@Neccessary if the chef is skimpy."
"Block/Scarecrow";"Text";"";"Scarecrow@Keeps seagulls away from you crop plots by distracting the attention with its beautiful body.";"Опудало@Відволікає увагу чайок від ваших посівів своїм гарним тілом."
"Block/Scarecrow_Advanced";"Text";"";"Advanced Scarecrow@Keeps seagulls away from your crop plots for good.";"Advanced Scarecrow@Keeps seagulls away from your crop plots for good."
"Block/ScrapMechanic";"Text";"";"Scrap Mechanic duck@An old plastic duck. Seems to originate from the game Scrap Mechanic.";"Качка зі Scrap Mechanic@Стара пластикова качечка. Така сама, як у грі Scrap Mechanic."
"Block/SetFortified";"Text";"";"Fortify@";"Укріпити@"
"Block/SharkTrophy";"Text";"";"Shark trophy@In memory of the struggle...";"Shark trophy@In memory of the struggle..."
"Block/Shelf";"Text";"";"Shelf@A shelf to place things on.";"Shelf@A shelf to place things on."
"Block/Shelf_Large";"Text";"";"Large shelf@";"Large shelf@"
"Block/Sign_LiveLaughSail";"Text";"";"Live, laugh, sail@An annoyingly perfect sign.";"Live, laugh, sail@An annoyingly perfect sign."
"Block/Sign_RaftSweetRaft";"Text";"";"Raft sweet raft@An annoyingly perfect sign.";"Raft sweet raft@An annoyingly perfect sign."
"Block/Sofa";"Text";"";"Sofa@Comfy and elegant.";"Sofa@Comfy and elegant."
"Block/SpiralStair";"Text";"";"Spiral stair case@A fancier stair.";"Spiral stair case@A fancier stair."
"Block/SpiralStairHalf";"Text";"";"Half spiral staircase@A fancier half stair.";"Half spiral staircase@A fancier half stair."
"Block/Sprinkler";"Text";"";"Sprinkler@Waters your crops automatically. Seems to be missing a battery though.";"Sprinkler@Waters your crops automatically. Seems to be missing a battery though."
"Block/Stair_Tier3";"Text";"";"Solid stair@Great to get from one floor to another.";"Solid stair@Great to get from one floor to another."
"Block/Stair_Wood";"Text";"";"Stair@Great to get from one floor to another.";"Stair@Great to get from one floor to another."
"Block/SteeringWheel";"Text";"";"Steering Wheel@Allows you to rotate your raft. Extra useful in combination with an engine.";"Steering Wheel@Allows you to rotate your raft. Extra useful in combination with an engine."
"Block/Storage_Large";"Text";"";"Large Storage@Used to store a lot of items.";"Large Storage@Used to store a lot of items."
"Block/Storage_Medium";"Text";"";"Storage@Used to store more items.";"Storage@Used to store more items."
"Block/Storage_Small";"Text";"";"Small storage@Used to store items.";"Small storage@Used to store items."
"Block/Streamer";"Text";"";"Streamer@Useful for knowing which way is forward.";"Streamer@Useful for knowing which way is forward."
"Block/StringLight";"Text";"";"String light@Sets the mood.";"String light@Sets the mood."
"Block/Surfboard";"Text";"";"Surfboard@Somebody got unlucky.";"Surfboard@Somebody got unlucky."
"Block/Table";"Text";"";"Table@A table to place things on... Or under. Goes well with a chair.";"Table@A table to place things on... Or under. Goes well with a chair."
"Block/Table_Small";"Text";"";"Table@A table to place things on.";"Table@A table to place things on."
"Block/Tablecloth";"Text";"";"Tablecloth@Fits perfectly on a table.";"Tablecloth@Fits perfectly on a table."
"Block/TangaroaPlant";"Text";"";"Tangaroa plant@A decorative plant from Tangaroa.";"Tangaroa plant@A decorative plant from Tangaroa."
"Block/TemperanceCutlery";"Text";"";"Temperance cutlery@A useful spork and plate.";"Temperance cutlery@A useful spork and plate."
"Block/TemperanceMug";"Text";"";"Temperance mug@Cute design!";"Temperance mug@Cute design!"
"Block/TemperancePainting";"Text";"";"Temperance painting@Snow, scientists and a purpose!";"Temperance painting@Snow, scientists and a purpose!"
"Block/TemperancePlant";"Text";"";"Temperance plant@A decorative plant from Temperance.";"Temperance plant@A decorative plant from Temperance."
"Block/TemperanceRug";"Text";"";"Temperance rug@A simple rug most commonly found in igloos.";"Temperance rug@A simple rug most commonly found in igloos."
"Block/TicTacToe";"Text";"";"Tic-tac-toe@A fun game to play with a friend.";"Хрестики-нулики@Весела гра для друзів."
"Block/TikiPoleComplete";"Text";"";"Tiki pole@Tall, colorful and majestic.";"Tiki pole@Tall, colorful and majestic."
"Block/TikiPolePiece";"Text";"";"Tiki piece@It seems lonely by itself.";"Tiki piece@It seems lonely by itself."
"Block/ToyRobot";"Text";"";"Toy robot@A mechanical little friend.";"Toy robot@A mechanical little friend."
"Block/ToyRobot_Gold";"Text";"";"Golden toy robot@There is no battery inside, yet its eyes glow...";"Golden toy robot@There is no battery inside, yet its eyes glow..."
"Block/Trashcan";"Text";"";"Trashcan@Throw your trash in here instead of the ocean.";"Trashcan@Throw your trash in here instead of the ocean."
"Block/Upgrade_Thatch";"Text";"";"Replace with thatch@";"Replace with thatch@"
"Block/Upgrade_Tier3";"Text";"";"Replace with solid wood@";"Replace with solid wood@"
"Block/Upgrade_Wood";"Text";"";"Replace with wood@";"Replace with wood@"
"Block/UtopiaBottle";"Text";"";"Utopia bottles@Decorative bottles from Utopia.";"Utopia bottles@Decorative bottles from Utopia."
