"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Battery/Empty";"Text";;"Battery empty";;"Batteri tomt";"Batterie à plat";"Batteria scarica";"Batterie leer";"Batería vacía";"Brak baterii";"Bateria vazia";"没电了";"バッテリー切れ";"빈 배터리";"Батарейка пуста"
"Battery/Required";"Text";;"Battery required";;"Batteri krävs";"Batterie requise";"Batteria necessaria";"Batterie benötigt";"Se necesita una batería";"Wymaga baterii";"Requer bateria";"需要电池";"バッテリーが必要です";"배터리 필요";"Требуется батарейка"
"Blcok/Shelf_Wood";"Text";;"Wooden shelf@";;;;;;;;;;;;
"Block/Anchor_Stationary";"Text";;"Stationary anchor@Lets you anchor your raft.";;"Stationärt ankare@Låter dig ankra din flotte.";"Ancre attachée@Vous permet d'ancrer votre radeau.";"Ancora fissa@Ti permette di ancorare la zattera.";"Stationärer Anker@Lässt dich dein Floß ankern.";"Ancla fija@Te permite anclar la balsa.";"Trwale zamontowana kotwica@Pozwala zakotwiczyć tratwę.";"Âncora fixa@Para ancorar sua jangada.";"固定锚@用来固定你的木筏。";"固定式アンカー@いかだを停泊させます。";"고정식 앵커@뗏목을 고정시킵니다.";"Постоянный якорь@Позволяет поставить плот на якорь."
"Block/Anchor_Stationary_Advanced";"Text";;"Advanced stationary anchor@Works remotely with the engine controls.";;"Avancerat stationärt ankare@Låter dig ankra med hjälp av motorreglaget.";"Ancre attachée avancée@Contrôlée à distance par le poste de contrôle.";"Ancora fissa avanzata@Controllabile a distanza dalla postazione dei comandi.";"Fortgeschrittener stationärer Anker@Funktioniert ferngesteuert mit den Kontrollpunkten.";"Ancla fija mejorada@Funciona de forma remota gracias a los controles del motor.";"Zaawansowana trwale zamontowana kotwica@Współpracuje zdalnie z układem sterowania silnika.";"Âncora estacionária avançada@Funciona remotamente com controles mecânicos.";"高级固定锚@可以用发动机控制器远程操控。";"改良型固定式アンカー@エンジンコントロールでリモート操作できる。";"고급 고정식 앵커@엔진 제어 장치로 멀리서도 작동합니다.";"Улучшенный постоянный якорь@Работает удаленно при помощи устройств управления двигателями."
"Block/Anchor_Stationary_Remote";"Text";;"Remote stationary anchor@Works remotely with the engine controls.";;"Fjärrstyrt stationärt ankare@Låter dig ankra med hjälp av motorstyrningsstationen";;;;;;;;;;
"Block/Anchor_Throwable";"Text";;"Throwable anchor@Lets you anchor your raft. Can only be used once.";;"Kastbart ankare@Låter dig ankra din flotte. Kan endast användas en gång.";"Ancre jetable@Vous permet d'ancrer votre radeau. Ne peut être utilisée qu'une seule fois.";"Ancora monouso@Ti permette di ancorare la zattera. Può essere utilizzata una sola volta.";"Wurfanker@Lässt dich dein Floß ankern. Kann nur einmal verwendet werden.";"Ancla arrojadiza@Te permite anclar la balsa. Solo se puede usar una vez.";"Zarzucana kotwica@Pozwala zakotwiczyć tratwę. Można jej użyć tylko raz.";"Âncora de lançar@Para ancorar sua jangada. Só pode ser usada uma vez.";"可扔锚@让你可以抛锚泊木筏。只能使用一次。";"投入式アンカー@いかだを停泊させます。一度だけ使えます。";"투척식 앵커@뗏목을 고정시킵니다. 한 번만 사용할 수 있습니다.";"Разовый якорь@Позволяет поставить плот на якорь. Можно использовать один раз."
"Block/Antenna";"Text";;"Antenna@Used along with the receiver.";;"Antenn@Används tillsammans med mottagaren.";"Antenne@Fonctionne avec le récepteur.";"Antenna@Viene utilizzata insieme al ricevitore.";"Antenne@Wird mit dem Empfänger verwendet.";"Antena@Se usa junto al receptor.";"Antena@Używana razem z odbiornikiem.";"Antena@Utilizada com o receptor.";"天线@跟接收器一起用。";"アンテナ@レシーバーと一緒に使います。";"안테나@수신기와 함께 사용합니다.";"Антенна@Используется с приемником."
"Block/Bathtub";"Text";;"Wooden bathtub@A no splinter guarantee!";;"Träbadkar@Garanterat stickfri!";"Baignoire en bois@Promis, vous n'aurez aucune écharde !";"Vasca da bagno in legno@A prova di schegge!";"Holzbadewanne@Garantiert ohne Splitter!";"Bañera de madera@Sin astillas, ¡garantizado!";"Drewniana wanna@Wolna od drzazg!";"Banheira de madeira@Sem farpas, garantido!";"木制浴缸@放心，保证没有木刺扎人！";"木の浴槽@トゲが出ていないことは保証します。";"나무 욕조@가시는 없어요!";"Деревянная ванна@Никаких заноз!"
"Block/BatteryCharger";"Text";;"Battery charger@Can be connected with fuel pipes!";;"Batteriladdare@Kan kopplas ihop med bränslerör!";"Chargeur de batterie@Peut être relié à des tuyaux de carburants !";"Caricabatterie@Si può collegare ai tubi del carburante!";"Ladegerät@Kann an Treibstoffrohre angeschlossen werden!";"Cargador de batería@¡Se puede conectar con las tuberías de combustible!";"Ładowarka do baterii@Można ją połączyć z przewodem paliwowym!";"Carregador de bateria@Pode-se conectar com tubos de combustível!";"电池充电器@可以连接到燃料管上！";"充電器@燃料パイプにつなげられます！";"배터리 충전기@연료 파이프에 연결할 수 있습니다!";"Зарядное устройство@Можно подключить к топливным трубам!"
"Block/Bed";"Text";;"Bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed provides you with even more health than a simple bed.";;"Säng@Låter dig sova genom natten och kan användas för att återuppliva utslagna vänner. Att återuppliva sig i en säng ger dig ännu mer liv än i en enkel säng.";"Lit@Vous permet de dormir la nuit et de remettre sur pied vos amis immobilisés. Vous obtiendrez davantage de santé en réapparaissant dans un lit que dans un lit simple.";"Letto@Ti permette di dormire di notte e può essere usato per rianimare gli amici incapacitati. Rigenerarsi in un letto permette di ottenere più salute rispetto a un letto semplice.";"Bett@Lässt dich die Nacht durchschlafen und kann verwendet werden, um bewegungsunfähige Freunde wiederzubeleben. Das Wiederbeleben in einem Bett liefert noch mehr Gesundheit als ein einfaches Bett.";"Cama@Te permite descansar por la noche y sirve para revivir a aliados incapacitados. Al reaparecer en una cama tendrás más salud que si reapareces en una cama simple.";"Łóżko@Pozwala ci spać w nocy oraz przywracać do zdrowia nieprzytomnych przyjaciół. Odradzając się w łóżku, odzyskasz jeszcze więcej zdrowia niż w prostym łóżku.";"Cama@Permite dormir a noite toda e pode ser usada para reviver amigos incapacitados. Ressurgir em uma cama fornece ainda mais saúde do que uma cama simples.";"床@你晚上可以在上面睡觉，也可用来唤醒失去行动能力的好友。让你获得比在简易床上复活更多的生命值。";"ベッド@一晩中眠ることができ、行動不能になったフレンドの復活に使用される。ベッドでリスポーンすると、簡素なベッドでリスポーンしたときより体力が回復する。";"침대@밤에 잘 수 있고 행동 불능 상태인 친구를 부활시킬 수도 있습니다. 침대에서 부활하면 간단 침대보다 체력을 더 많이 회복합니다.";"Удобная кровать@Позволяет спать ночью и лечить больных друзей. Перезапуск в удобной кровати добавляет больше здоровья, чем в обычной."
"Block/Bed_Hammock";"Text";;"Hammock@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a hammock provides you with even more health than a simple bed.";;"Hängmatta@Låter dig sova genom natten och kan användas för att återuppliva utslagna vänner. Att återuppliva sig i en hängmatta ger dig ännu mer liv än i en enkel säng.";"Hamac@Vous permet de dormir la nuit et de remettre sur pied vos amis immobilisés. Vous obtiendrez davantage de santé en réapparaissant dans un hamac.";"Amaca@Ti permette di dormire di notte e può essere usata per rianimare gli amici incapacitati. Rigenerarsi in un'amaca permette di ottenere più salute rispetto a un letto.";"Hängematte@Lässt dich die Nacht durchschlafen und kann verwendet werden, um bewegungsunfähige Freunde wiederzubeleben. Das Wiederbeleben in einer Hängematte liefert noch mehr Gesundheit als ein einfaches Bett.";"Hamaca@Te sirve para dormir por la noche y para revivir amigos incapacitados. Si reapareces en la hamaca, tu salud aumenta aún más que con la cama básica.";"Hamak@Pozwala ci spać w nocy oraz przywracać do zdrowia nieprzytomnych przyjaciół. Ponownie odradzając się w hamaku, odzyskasz jeszcze więcej zdrowia niż w łóżku.";"Rede@Para dormir durante a noite e reviver amigos incapacitados. Reanimar em uma rede lhe dá ainda mais vida do que uma cama simples.";"吊床@你晚上可以在上面睡觉，也可用来唤醒失去行动能力的好友。吊床让你获得比在床上复活更多的生命值。";"ハンモック　夜に睡眠をとったり疲れた友人を回復させたりできます。ハンモックから再開すると、簡素なベッドより体力が多くなります。";"해먹@밤에 잘 수 있고 행동 불능 상태인 친구를 부활시킬 수도 있습니다. 해먹에서 부활하면 단순 침대보다 더 많은 체력이 회복됩니다.";"Гамак@Позволяет спать ночью и лечить больных друзей. Перезапуск в гамаке добавляет даже больше здоровья, чем в обычной кровати."
"Block/Bed_Simple";"Text";;"Simple bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed also provides you with more health.";;"Enkel säng@Låter dig sova genom natten och kan användas för att återuppliva utslagna vänner. Att återuppliva sig i en säng ger dig också mer liv.";"Lit simple@Vous permet de dormir la nuit et de remettre sur pied vos amis immobilisés. Vous obtiendrez davantage de santé en réapparaissant dans un lit.";"Letto semplice@Ti permette di dormire di notte e può essere usato per rianimare gli amici incapacitati. Rigenerarsi in un letto permette anche di ottenere più salute.";"Einfaches Bett@Lässt dich die Nacht durchschlafen und kann verwendet werden, um bewegungsunfähige Freunde wiederzubeleben. Auch das Wiederbeleben im Bett sorgt für mehr Gesundheit.";"Cama básica@Te sirve para dormir por la noche y para revivir amigos incapacitados. Si reapareces en la cama, también aumenta tu salud.";"Proste łóżko@Pozwala ci spać w nocy oraz przywracać do zdrowia nieprzytomnych przyjaciół. Ponownie odradzając się w łóżku, odzyskasz więcej zdrowia.";"Cama simples@Para dormir durante a noite e reviver amigos incapacitados. Reanimar em uma cama também lhe dá mais vida.";"简易床@你晚上可以在上面睡觉，也可用来唤醒失去行动能力的好友。在床上复活同样也能让你获得更多的生命值。";"簡素なベッド@夜に睡眠をとったり疲れた友人を回復させたりできます。ベッドから再開すると、体力が多くなります。";"단순 침대@밤에 잘 수 있고 행동 불능 상태인 친구를 부활시킬 수도 있습니다. 침대에서 부활하면 체력이 더 많이 회복합니다.";"Обычная кровать@Позволяет спать ночью и лечить больных друзей. Перезапуск в кровати также добавляет здоровья."
"Block/Beehive";"Text";;"Beehive@If you care for the bees they will yield you honeycombs.";;"Bikupa@Om du tar hand om dina bin så ger dom dig vaxkakor.";"Ruche@Si vous vous occupez bien des abeilles, elles vous donneront des rayons de miel.";"Arnia@Se ti prendi cura delle api, loro produrranno i favi.";"Bienenstock@Kümmere dich gut um die Bienen, um Honigwaben zu erhalten.";"Colmena@Si cuidas de las abejas, te darán panales de miel.";"Ul@Jeśli będziesz dbać o pszczoły, będą wytwarzać plastry miodu.";"Colmeia de abelhas@Se você cuidar das abelhas, elas produzirão favos de mel.";"蜂巢@如果你精心呵护蜜蜂，它们就会为你填满蜂房。";"ハチの巣@ミツバチの世話をすればハチミツが手に入ります。";"벌통@벌을 보살펴주면 벌이 벌집을 내어줄 겁니다.";"Улей@Если за пчелами ухаживать, они сделают вам соты."
"Block/BiofuelExtractor";"Text";;"Biofuel refiner@Mixes raw food and honey to create biofuel.";;"Biobränsleraffinerare@Blandar rå mat och honung för att skapa biobränsle.";"Raffineur de biocarburant@Mélange des aliments crus et du miel pour créer du biocardurant.";"Raffinatore di biocarburante@Miscela cibo crudo e miele per ottenere del biocarburante.";"Biokraftstoff-Raffinerie@Mischt Rohkost und Honig zu Biokraftstoff.";"Refinador de biocombustible@Mezcla comida cruda y miel para crear biocombustible.";"Rafiner biopaliwa@Pozwala wymieszać surowe jedzenie i miód w celu uzyskania biopaliwa.";"Refinador de biocombustível@Mistura mel e alimentos crus para gerar biocombustível.";"生物燃料精炼器@通过混合生食与蜂蜜，造出生物燃料。";"バイオ燃料の精製装置@未加工の食べ物とハチミツを混ぜ、バイオ燃料を作成できます。";"생물 연료 정제기@날음식과 꿀을 섞어 생물 연료를 만듭니다.";"Очиститель биотоплива@Создает биотопливо, смешивая сырые продукты и мед."
"Block/BiofuelExtractor_Advanced";"Text";;"Advanced biofuel refiner@Mixes raw food and honey to create biofuel.";;"Avancerad biobränsleraffinerare@Blandar rå mat och honung för att skapa biobränsle.";"Raffineur de biocarburant avancé@Mélange des aliments crus et du miel pour créer du biocarburant.";"Raffinatore di biocarburante avanzato@Miscela cibo crudo e miele per ottenere del biocarburante.";"Fortgeschrittene Biokraftstoff-Raffinerie@Mischt Rohkost und Honig zu Biokraftstoff.";"Refinador de biocombustible avanzado@Mezcla comida cruda y miel para crear biocombustible.";"Zaawansowany rafiner biopaliwa@Pozwala wymieszać surowe jedzenie i miód w celu uzyskania biopaliwa.";"Refinador de biocombustível avançado@Mistura comida crua e mel para produzir biocombustível.";"高级生物燃料精炼器@通过混合生食与蜂蜜，造出生物燃料。";"改良型バイオ燃料精製装置@未加工の食べ物とハチミツを混ぜて、バイオ燃料を生成できる。";"고급 생물 연료 정제기@날음식과 꿀을 섞어 생물 연료를 만듭니다.";"Улучшенный очиститель биотоплива@Создает биотопливо, смешивая сырые продукты и мед."
"Block/BirdsNest";"Text";;"Birds nest@A place for seagulls to rest. Be sure to keep your distance as birds are easily scared.";;"Fågelbo@En plats för fiskmåsar att vila. Se till att hålla avstånd då fåglar lätt skräms iväg.";"Nid d'oiseau@Où les mouettes se reposent et pondent. Restez à distance, les oiseaux prennent peur facilement.";"Nido di uccelli@Un luogo in cui i gabbiani si possono riposare. Assicurati di mantenere le distanze perché gli uccelli si spaventano facilmente.";"Vogelnest@Ein Ort, an dem sich Seemöwen ausruhen. Halte ausreichend Abstand, da die Vögel sehr schreckhaft sind.";"Nido de pájaros@Un lugar de descanso para las gaviotas. Asegúrate de guardar las distancias, porque los pájaros se asustan con facilidad.";"Ptasie gniazdo@Miejsce, w którym mewy odpoczywają i składają jaja. Nie zbliżaj się do niego za bardzo, żeby ich nie spłoszyć.";"Ninho de pássaro@Lugar de descanso das gaivotas. Mantenha distância, pois os pássaros se assustam facilmente.";"鸟巢@海鸥休息和下蛋的地方。请保持距离，鸟儿很容易受惊。";"鳥の巣@カモメたちが休んだり卵を産んだりする場所です。離れていないと鳥たちを驚かせてしまいます。";"새 둥지@바다 갈매기가 쉬는 곳. 새들이 쉽게 겁을 먹는 편이니 충분한 거리를 유지하세요.";"Птичье гнездо@Место, где отдыхают чайки. Будьте осторожнее, птиц легко спугнуть."
"Block/BlanketBasket";"Text";;"Blanket basket@Perfect when if it gets a bit chilly.";;"Filtkorg@Perfekt för när det blir lite kyligt";"Panier avec couverture@Parfait quand il commence à faire froid.";"Cesto del bucato@Perfetto quando inizia a far freschino.";"Korb mit Decke@Perfekt, wenn es etwas kühler wird.";"Cesta de mantas@Lo mejor para cuando hace un poco de frío.";"Kosz na koce@Idealny, kiedy robi się chłodno.";"Cesto de cobertor@Perfeito para dias frios.";"毯框@天气有点变冷的时候超级好用。";"毛布入れ@寒くなった時にすぐ使えます。";"담요 바구니@으스스할 때 좋아요.";"Корзина для пледов@Идеально, если вдруг похолодает."
"Block/Bookpile";"Text";;"Bookpile@A pile of old books.";;"Bokhög@En hög med gamla böcker.";"Pile de livres@Une pile de vieux livres.";"Pila di libri@Una pila di vecchi libri.";"Bücherstapel@Ein Stapel alter Bücher.";"Pila de libros@Una pila de libros viejos.";"Stos książek@Sterta starych książek.";"Pilha de livros@Uma pilha de livros velhos.";"书堆@一堆旧书。";"本の山@古い書物が積まれています。";"책더미@오래된 책이 쌓여있습니다.";"Стопка книг@Стопка старых книг."
"Block/Brick_Wet";"Text";;"Wet brick@Can be placed on your raft to dry.";;"Vått tegel@Kan placeras på din flotte för att torka.";"Brique fraîche@Peut être mise à sécher sur votre radeau.";"Mattone fresco@Puoi metterlo sulla zattera a essiccare.";"Nasser Ziegel@Kann zum Trocknen auf das Floß gelegt werden.";"Ladrillo húmedo@Puedes colocarlo en tu balsa para que se seque.";"Mokra cegła@Połóż ją na tratwie, żeby wyschła.";"Tijolo molhado@Pode ser deixado na sua jangada para secar.";"湿的砖头@可以放在你的竹筏上晾干。";"塗れたレンガ@いかだに置いて乾かすことができます。";"젖은 벽돌@뗏목에 놓고 말릴 수 있습니다.";"Мокрый кирпич@Его можно просушить на плоту."
"Block/CandleBottle";"Text";;"Candle Bottle@Not a very bright light, but a pretty one.";;"Ljusflaska@Inte ett särksilt starkt ljus, men det är fint.";"Bougie en bouteille@N'éclaire pas beaucoup mais reste très esthétique.";"Bottiglia con candela@Non illumina molto, ma è bella da vedere.";"Kerzenflasche@Kein sehr helles Licht, aber ein hübsches.";"Botella con vela@Su luz no alumbra mucho, pero es bonita.";"Świeca w butelce@Nie daje zbyt silnego światła, ale jest ładna.";"Vela de garrafa@Não ilumina muito, mas é bonita.";"蜡烛瓶@不是特别亮，但也还不错。";"キャンドルボトル@あまり明るくはないけれど可愛いです。";"초 병@그리 밝지 않지만 예쁘게 생겼습니다.";"Свеча в бутылке@Не очень яркий свет, зато красиво."
"Block/Candlestick";"Text";;"Candlestick@For a candle lit dinner.";;"Ljusstake@För en middag med tända ljus";"Bougeoir@Pour un dîner aux chandelles.";"Candelabro@Per una cena a lume di candela.";"Kerzenständer@Für ein Dinner bei Kerzenlicht.";"Candelero@Para una cena con velas.";"Świecznik@Na kolacje przy świecach.";"Castiçal@Para um jantar à luz de velas.";"烛台@烛光晚餐必备。";"ロウソク@灯して、ロマンチックなディナーをどうぞ。";"촛대@촛불을 켜고 식사해 보세요.";"Подсвечник@Для ужина при свечах."
"Block/Chair";"Text";;"Chair@Nice for sitting. Goes well with a table.";;"Stol@Bra för att sitta ner. Passar bra vid ett bord.";"Chaise@Pour s'asseoir. À combiner avec une table.";"Sedia@Per quando vuoi sederti. Sta bene con un tavolo.";"Stuhl@Angenehm zum Sitzen. Passt gut zu einem Tisch.";"Silla@Está bien para sentarse. Es un buen accesorio para una mesa.";"Krzesło@Dobrze się na nim siedzi. Pasuje do stołu.";"Cadeira@Perfeita para se sentar. Vai bem com uma mesa.";"椅子@坐起来很舒服。跟桌子很配。";"イス@良い座り心地です。テーブルとよく合います。";"의자@앉아서 쉴 수 있습니다. 탁자와 같이 두면 더 좋습니다.";"Стул@На нем удобно сидеть. Сочетается со столом."
"Block/Clock";"Text";;"Clock@Shows the time.";;"Klocka@Visar tiden.";"Horloge@Pour savoir l'heure.";"Orologio@Mostra l'ora.";"Uhr@Zeigt die Uhrzeit an.";"Reloj@Te enseña la hora.";"Zegar@Mierzy czas.";"Relógio@Mostra o horário.";"钟@显示时间。";"時計@時間を表示します。";"시계@시간을 볼 수 있습니다.";"Часы@Показывают время"
"Block/CollectionNet";"Text";;"Advanced collection net@Automatically catches items that float into it. Can contain more items than a simple collection net.";;"Avancerat uppsamlingsnät@Fångar automatiskt saker som flyter in i det. Kan fånga mer saker än ett simpelt uppsamlingsnät.";"Filet de récupération avancé@Récupère automatiquement les objets qui dérivent vers lui. Peut contenir plus d'objets qu'un filet classique.";"Retino avanzato@Prende tutto quello che ci finisce dentro. Può contenere più oggetti di un retino semplice.";"Fortgeschrittenes Sammelnetz@Fängt automatisch Gegenstände auf, die hineinschwimmen. Kann mehr Objekte enthalten als ein einfaches Sammelnetz.";"Red recolectora avanzada@Atrapa objetos flotantes de forma automática y tiene más capacidad que una red recolectora simple.";"Zaawansowana sieć@Automatycznie łapie przedmioty, które w nią wpadną. Mieści więcej przedmiotów niż prosta sieć.";"Rede de coleta avançada@Apanha itens que flutuam sobre ela automaticamente. Pode obter mais itens do que uma rede de coleta simples.";"高级收集网@自动抓取漂过来的物品，数量比初级收集网更多。";"改良型回収ネット@浮いているアイテムを自動的に回収する。簡素な回収ネットよりも多くのアイテムが入る。";"고급 포획 그물@안에 아이템이 들어가면 자동으로 잡습니다. 일반 포획 그물보다 더 많은 아이템을 가둘 수 있습니다.";"Улучшенная сеть-ловушка@Автоматически ловит предметы, которые в нее заплывают. Вмещает больше предметов, чем обычная сеть."
"Block/CollectionNet_Simple";"Text";;"Simple collection net@Automatically catches items that float into it.";;"Simpelt uppsamlingsnät@Fångar automatiskt saker som flyter in i det.";"Filet de récupération@Récupère automatiquement les objets qui dérivent vers lui.";"Retino@Prende tutto quello che ci finisce dentro.";"Sammelnetz@Fängt automatisch Objekte ab, die hineinschwimmen.";"Salabre@Atrapa cualquier objeto que flote hacia él de forma automática.";"Sieć@Automatycznie łapie wszystkie przedmioty, które w nią wpadną.";"Rede de pesca@Automaticamente pega peixes que passam nela.";"收集网@自动抓取漂过来的物品。";"回収ネット@浮いているアイテムを自動的にその中へ集めます。";"포획 그물@안에 아이템이 들어가면 자동으로 잡습니다.";"Сеть-ловушка@Автоматически ловит предметы, которые в нее заплывают."
"Block/CookingPot";"Text";;"Cookingpot@Combines base food into amazing meals.";;"Gryta@Kombinerar ingredienser till fantastiska måltider.";"Marmite@Permet de faire de bons repas à partir de produits de base.";"Pentola@Crea piatti fantastici con gli ingredienti di base.";"Topf@Verarbeitet Basisnahrung zu erstaunliche Mahlzeiten.";"Olla@Transforma alimentos en comidas fabulosas.";"Garnek@Pozwala z podstawowych składników stworzyć wspaniałe dania.";"Panela@Use para transformar ingredientes em refeições.";"锅@把基础食材煮成一顿美餐！";"なべ@食材をすばらしい料理に変えます。";"냄비@단순한 재료가 놀라운 식사로 탈바꿈합니다.";"Котелок@Можно смешать ингредиенты и приготовить прекрасную еду."
"Block/CookingStand_Food_Electric";"Text";;"Electric grill@Can cook a lot of food at once. Uses battery as fuel.";;"Elektrisk grill@Kan tillaga massor av mat på en gång. Förbrukar batteri som bränsle.";"Grille de cuisson électrique@Permet de faire cuire beaucoup de nourriture. Fonctionne grâce à des batteries.";"Griglia elettrica@Ci si possono cucinare più alimenti per volta. Alimentata a batteria.";"Elektrogrill@Kann eine Menge Essen auf einmal zubereiten. Verwendet einen Akku als Energieträger.";"Parrilla eléctrica@Puede cocinar un montón de comida a la vez. Funciona con baterías.";"Elektryczny ruszt@Możesz na nim przygotować dużo jedzenia równocześnie. Zasilany bateriami.";"Grelha elétrica@Pode cozinhar bastante comida de uma vez. Abastecida por baterias.";"电烤架@一次可以烹饪大量食物。用电池作为燃料。";"電気グリル@一度にたくさんの食材を調理できる。燃料として電気を使用する。";"전기 그릴@동시에 많은 음식을 조리할 수 있습니다. 배터리를 연료로 사용합니다.";"Электрогриль@Можно готовить много блюд одновременно. Работает от батарейки."
"Block/CookingStand_Food_One";"Text";;"Simple grill@Can cook a piece of food. Uses planks as fuel.";;"Enkel grill@Kan tillaga en matbit. Använder plankor som bränsle.";"Grille de cuisson simple@Permet de faire cuire un peu de nourriture. Nécessite de brûler des planches.";"Griglia semplice@Ci si può cucinare un alimento per volta. Usa le assi come combustibile.";"Einfacher Grill@Kann eine Portion Essen kochen. Verwendet Bretter als Brennstoff.";"Parrilla básica@Aquí puedes cocinar un trozo de alimento. Tienes que usar tablas de combustible.";"Prosty ruszt@Można na nim przygotować posiłek. Jako podpałki użyj desek.";"Grelha simples@Pode cozinhar um ingrediente. Precisa de tábuas para funcionar.";"简易烤架@只能烹饪一种食物。用木板作为燃料。";"簡素なグリル@食べ物を料理できます。厚板を燃料に使います。";"단순 그릴@음식을 만들 수 있습니다. 판자를 연료로 사용합니다.";"Обычный гриль@На нем можно готовить одно блюдо. Топить можно досками."
"Block/CookingStand_Food_Two";"Text";;"Advanced grill@Can cook several pieces of food at once. Uses planks as fuel.";;"Avancerad grill@Kan tillaga flera matbitar åt gången. Använder plankor som bränsle.";"Grille de cuisson avancée@Permet de faire cuire beaucoup de nourriture. Nécessite de brûler des planches.";"Griglia migliorata@Ci si possono cucinare più alimenti per volta. Usa le assi come combustibile.";"Fortschrittlicher Grill@Kann mehrere Portionen Nahrung auf einmal kochen. Verwendet Bretter als Brennstoff.";"Parrilla avanzada@Aquí puedes cocinar varios trozos de alimento a la vez. Tienes que usar tablas de combustible.";"Zaawansowany ruszt@Możesz na nim przygotować kilka posiłków równocześnie. Jako podpałki użyj desek.";"Grelha avançada@Pode cozinhar vários ingredientes ao mesmo tempo. Precisa de tábuas para funcionar.";"高级烤架@一次可以烹饪好几种食物。用木板作为燃料。";"アドバンスグリル@一度にいくつかの食べ物を料理できます。厚板を燃料に使います。";"고급 그릴@한 번에 여러 가지 요리를 할 수 있습니다. 판자를 연료로 사용합니다.";"Улучшенный гриль@На нем можно готовить несколько блюд. Топить можно досками."
